antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({119, 1151, 1367, 951})","frozenset({768, 1161})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 119, 1367, 951})","frozenset({1161, 1151})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1161, 1367, 119})","frozenset({1151, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1161, 1367, 951})","frozenset({1151, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1161, 119, 951})","frozenset({1151, 1367})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1151, 119})","frozenset({768, 1161, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1151, 951})","frozenset({768, 1161, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1161, 1151})","frozenset({768, 119, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({119, 1151, 951})","frozenset({768, 1161})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1161})","frozenset({1151, 1367, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 119, 951})","frozenset({1161, 1151})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1161, 119})","frozenset({1151, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1161, 951})","frozenset({1151, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1151, 1367})","frozenset({768, 119, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1151, 119})","frozenset({768, 1367, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1151, 951})","frozenset({768, 1367, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1367, 119})","frozenset({1151, 951})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 1367, 951})","frozenset({1151, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({768, 119, 951})","frozenset({1151, 1367})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1151, 1367})","frozenset({768, 1161, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1151, 119})","frozenset({768, 1161, 1367})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1161, 1151})","frozenset({768, 1367, 119})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
"frozenset({1025, 499})","frozenset({1441, 66, 343})",0.00011740534194305841,0.00011740534194305841,0.00011740534194305841,1.0,8517.5,1.0,0.00011739155792874165,inf,1.0,1.0,1.0,1.0
